SriLanka_creole,phonetic_transcription,phono_TRSVD,phono_CV
Chocarréa,t̠ʃokareːa,TV.TV.RV.V,CV.CV.CV.V
choqueria,t̠ʃokeɾia,TV.TV.RV.V,CV.CV.CV.V
Chomà,t̠ʃomaː,TV.RV,CV.CV
Chóma,t̠ʃoːma,TV.RV,CV.CV
Chorrà,t̠ʃoraː,TV.RV,CV.CV
churá,t̠ʃuɾaː,TV.RV,CV.CV
Chóve,t̠ʃoːʋe,TV.TV,CV.CV
Cristendade,kɾistendade,TRVS.TVR.TV.TV,CCVC.CVC.CV.CV
Cristmas,kɾistmas,TRVS.TRVS,CCVC.CCVC
Chuchadas,t̠ʃut̠ʃadas,TV.TV.TVS,CV.CV.CVC
Chuchado,t̠ʃut̠ʃado,TV.TV.TV,CV.CV.CV
Chulo,t̠ʃulo,TV.RV,CV.CV
Chumà,t̠ʃumaː,TV.RV,CV.CV
Chumaço,t̠ʃumaso,TV.RV.SV,CV.CV.CV
Chunambo,t̠ʃunambo,TV.RVR.TV,CV.CVC.CV
Chusmo,t̠ʃuzmo,TV.TRV,CV.CCV
Cinquo,sinkuo,SVR.TV.V,CVC.CV.V
cinquè,sinkeː,SVR.TV,CVC.CV
Cinquento,sinkento,SVR.TVR.TV,CVC.CVC.CV
Cintura,sintuɾa,SVR.TV.RV,CVC.CV.CV
Cinturà,sintuɾaː,SVR.TV.RV,CVC.CV.CV
Circumcisá,siɾkumsizaː,SVR.TVR.SV.TV,CVC.CVC.CV.CV
circumciá,siɾkumsiaː,SVR.TVR.SV.V,CVC.CVC.CV.V
Circumcido,siɾkumsido,SVR.TVR.SV.TV,CVC.CVC.CV.CV
Cizo,sizo,SV.TV,CV.CV
Cizomente,sizomente,SV.TV.RVR.TV,CV.CV.CVC.CV
Clar,klaɾ,TRVR,CCVC
Clarmente,klaɾmente,TRVR.RVR.TV,CCVC.CVC.CV
Cóber,koːbeɾ,TV.TVR,CV.CVC
Cobiço,kobiso,TV.TV.SV,CV.CV.CV
Kófi,koːfi,TV.TV,CV.CV
Coidá,kojdaː,TVR.TV,CVC.CV
Coidado,kojdado,TVR.TV.TV,CVC.CV.CV
Çoità,sojtaː,SVR.TV,CVC.CV
Coitado,kojtado,TVR.TV.TV,CVC.CV.CV
Colleição,koleisaːo,TV.RD.SV.V,CV.CVV.CV.V
Color,koloɾ,TV.RVR,CV.CVC
clor,kloɾ,TRVR,CCVC
Columno,kolumno,TV.RVR.RV,CV.CVC.CV
Cóma,koːma,TV.RV,CV.CV
comè,komeː,TV.RV,CV.CV
Combersan,kombeɾsan,TVR.TVR.SVR,CVC.CVC.CVC
Começa,komesa,TV.RV.SV,CV.CV.CV
Comedi,komedi,TV.RV.TV,CV.CV.CV
comédè,komeːdeː,TV.RV.TV,CV.CV.CV
Comera,komeɾa,TV.RVRV,CV.CVCV
comêrè,komeːɾeː,TV.RVRV,CV.CVCV
comero,komeɾo,TV.RVRV,CV.CVCV
comeira,komeiɾa,TV.RD.RV,CV.CVV.CV
coméria,komeːɾia,TV.RVRV.V,CV.CVCV.V
Comers,komeɾs,TV.RVRS,CV.CVCC
Comfortable,komfoɾtable,TVR.TVR.TV.TRV,CVC.CVC.CV.CCV
Comidá,komidaː,TV.RV.TV,CV.CV.CV
Comidação,komidasaːo,TV.RV.TV.SV.V,CV.CV.CV.CV.V
Commettá,kometːaː,TV.RV.TV,CV.CV.CV
Comménda,komeːnda,TV.RVR.TV,CV.CVC.CV
Comminhão,komiɲaːo,TV.RVRV.V,CV.CVCV.V
Communigá,komunigaː,TV.RVRV.TV,CV.CVCV.CV
Companha,kompaɲa,TVR.TV.RV,CVC.CV.CV
compinha,kompiɲa,TVR.TV.RV,CVC.CV.CV
Companhà,kompaɲaː,TVR.TV.RV,CVC.CV.CV
compinhà,kompiɲaː,TVR.TV.RV,CVC.CV.CV
Companhamen-to,kompaɲamen to,TVR.TV.RVRVR TV,CVC.CV.CVCVC CV
companhimento,kompaɲimento,TVR.TV.RVRVR.TV,CVC.CV.CVCVC.CV
compinhamento,kompiɲamento,TVR.TV.RVRVR.TV,CVC.CV.CVCVC.CV
Compinhador,kompiɲadoɾ,TVR.TV.RV.TVR,CVC.CV.CV.CVC
Companhério,kompaɲeːɾio,TVR.TV.RVRV.V,CVC.CV.CVCV.V
compinheiro,kompiɲeiɾo,TVR.TV.RD.RV,CVC.CV.CVV.CV
Compania,kompania,TVR.TV.RV.V,CVC.CV.CV.V
Competè,kompeteː,TVR.TV.TV,CVC.CV.CV
competá,kompetaː,TVR.TV.TV,CVC.CV.CV
Complemento,komplemento,TVR.TRV.RVR.TV,CVC.CCV.CVC.CV
Compridão,kompɾidaːo,TVR.TRV.TV.V,CVC.CCV.CV.V
comperdão,kompeɾdaːo,TVR.TVR.TV.V,CVC.CVC.CV.V
compramento,kompɾamento,TVR.TRV.RVR.TV,CVC.CCV.CVC.CV
Comtodo,komtodo,TVR.TV.TV,CVC.CV.CV
Con'cé,konəseː,TV.RV.SV,CV.CV.CV
Cóncert,koːnseɾt,TVR.SVR.T,CVC.CVC.C
Concertá,konseɾtaː,TVR.SVR.TV,CVC.CVC.CV
Concérta,konseːɾta,TVR.SVR.TV,CVC.CVC.CV
Concià,konsiaː,TVR.SV.V,CVC.CV.V
Condiná,kondinaː,TVR.TV.RV,CVC.CV.CV
Condinação,kondinasaːo,TVR.TV.RV.SV.V,CVC.CV.CV.CV.V
Confessão,konfesaːo,TVR.TV.SV.V,CVC.CV.CV.V
confesso,konfeso,TVR.TV.SV,CVC.CV.CV
Confiador,konfiadoɾ,TVR.TV.V.TVR,CVC.CV.V.CVC
Confidença,konfidensa,TVR.TV.TVR.SV,CVC.CV.CVC.CV
Confina,konfina,TVR.TV.RV,CVC.CV.CV
Conforma,konfoɾma,TVR.TVR.RV,CVC.CVC.CV
Confundá,konfundaː,TVR.TVR.TV,CVC.CVC.CV
Confusado,konfuzado,TVR.TV.TV.TV,CVC.CV.CV.CV
condusadoso,konduzadozo,TVR.TV.TV.TV.TV,CVC.CV.CV.CV.CV
Consciancia,konsiansia,TVR.SV.VR.SV.V,CVC.CV.VC.CV.V
conscencia,konsensia,TVR.SVR.SV.V,CVC.CVC.CV.V
Consecrá,konsekɾaː,TVR.SV.TRV,CVC.CV.CCV
Consecração,konsekɾasaːo,TVR.SV.TRV.SV.V,CVC.CV.CCV.CV.V
Conselà,konselaː,TVR.SV.RV,CVC.CV.CV
Conselação,konselasaːo,TVR.SV.RV.SV.V,CVC.CV.CV.CV.V
consalação,konsalasaːo,TVR.SV.RV.SV.V,CVC.CV.CV.CV.V
Conselador,konseladoɾ,TVR.SV.RV.TVR,CVC.CV.CV.CVC
Conselyo,konselʲo,TVR.SV.RV,CVC.CV.CV
Conselharo,konseʎaɾo,TVR.SV.RVRV,CVC.CV.CVCV
conselhéro,konseʎeːɾo,TVR.SV.RVRV,CVC.CV.CVCV
conseleiro,konseleiɾo,TVR.SV.RD.RV,CVC.CV.CVV.CV
Consente,konsente,TVR.SVR.TV,CVC.CVC.CV
Consequences,konsekenses,TVR.SV.TVR.SVS,CVC.CV.CVC.CVC
Consistá,konsistaː,TVR.SVS.TV,CVC.CVC.CV
Constrangà,konstɾangaː,TVRS.TRVR.TV,CVCC.CCVC.CV
Constructado,konstɾuktado,TVRS.TRV.T.TV.TV,CVCC.CCV.C.CV.CV
Consuma,konsuma,TVR.SV.RV,CVC.CV.CV
Conta-papel,konta papel,TVR.TV TV.TVR,CVC.CV CV.CVC
Contendo,kontendo,TVR.TVR.TV,CVC.CVC.CV
Contentado,kontentado,TVR.TVR.TV.TV,CVC.CVC.CV.CV
Conter,konteɾ,TVR.TVR,CVC.CVC
Contino,kontino,TVR.TV.RV,CVC.CV.CV
continual,kontinual,TVR.TV.RV.VR,CVC.CV.CV.VC
Continualmente,kontinualmente,TVR.TV.RV.VR.RVR.TV,CVC.CV.CV.VC.CVC.CV
Contradizão,kontɾadizaːo,TVR.TRV.TV.TV.V,CVC.CCV.CV.CV.V
contradiza,kontɾadiza,TVR.TRV.TV.TV,CVC.CCV.CV.CV
Contrairo,kontɾaiɾo,TVR.TRV.V.RV,CVC.CCV.V.CV
Contriá,kontɾiaː,TVR.TRV.V,CVC.CCV.V
Contriação,kontɾiasaːo,TVR.TRV.V.SV.V,CVC.CCV.V.CV.V
Conversão,konʋeɾsaːo,TVR.TVR.SV.V,CVC.CVC.CV.V
Convertà,konʋeɾtaː,TVR.TVR.TV,CVC.CVC.CV
Convertação,konʋeɾtasaːo,TVR.TVR.TV.SV.V,CVC.CVC.CV.CV.V
Convidação,konʋidasaːo,TVR.TV.TV.SV.V,CVC.CV.CV.CV.V
Convinçà,konʋinsaː,TVR.TVR.SV,CVC.CVC.CV
Copa,kopa,TV.TV,CV.CV
cope,kope,TV.TV,CV.CV
Copa-ti,kopa ti,TV.TV TV,CV.CV CV
Copra,kopɾa,TV.TRV,CV.CCV
Copy,kopj,TV.TR,CV.CC
Coragè,koɾad̠ʒeː,TV.RV.TV,CV.CV.CV
corajo,koɾad̠ʒo,TV.RV.TV,CV.CV.CV
courajo,kouɾad̠ʒo,TD.RV.TV,CVV.CV.CV
Coragemente,koɾad̠ʒemente,TV.RV.TV.RVR.TV,CV.CV.CV.CVC.CV
Cordà,koɾdaː,TVR.TV,CVC.CV
cordià,koɾdiaː,TVR.TV.V,CVC.CV.V
Cordè,koɾdeː,TVR.TV,CVC.CV
Cores,koɾes,TV.RVS,CV.CVC
Coresmo,koɾezmo,TV.RV.TRV,CV.CV.CCV
Corovà,koɾoʋaː,TV.RV.TV,CV.CV.CV
Corovè,koɾoʋeː,TV.RV.TV,CV.CV.CV
Correctà,korektaː,TV.RV.T.TV,CV.CV.C.CV
corrigá,korigaː,TV.RV.TV,CV.CV.CV
Correição,koreisaːo,TV.RD.SV.V,CV.CVV.CV.V
Correntè,korenteː,TV.RVR.TV,CV.CVC.CV
currento,kurento,TV.RVR.TV,CV.CVC.CV
Corruptido,koruptido,TV.RV.T.TV.TV,CV.CV.C.CV.CV
Côrto,koːɾto,TVR.TV,CVC.CV
Cósse,koːse,TV.SV,CV.CV
Cossià,kosiaː,TV.SV.V,CV.CV.V
Cossér,koseːɾ,TV.SVR,CV.CVC
Costa,kosta,TVS.TV,CVC.CV
Couraço,kouɾaso,TD.RV.SV,CVV.CV.CV
Kôrt,koːɾt,TVR.T,CVC.C
Cóusus,koːuzus,TV.V.TVS,CV.V.CVC
cousès,kouzeːs,TD.TVS,CVV.CVC
Cóver,koːʋeɾ,TV.TVR,CV.CVC
Covodo,koʋodo,TV.TV.TV,CV.CV.CV
covido,koʋido,TV.TV.TV,CV.CV.CV
Creditor,kɾeditoɾ,TRV.TV.TVR,CCV.CV.CVC
Crem,kɾem,TRVR,CCVC
Crescentà,kɾesentaː,TRV.SVR.TV,CCV.CVC.CV
criscentá,kɾisentaː,TRV.SVR.TV,CCV.CVC.CV
Criançè,kɾianseː,TRV.VR.SV,CCV.VC.CV
criença,kɾiensa,TRV.VR.SV,CCV.VC.CV
Criminal,kɾiminal,TRV.RVRVR,CCV.CVCVC
Criscé,kɾiseː,TRV.SV,CCV.CV
crisé,kɾizeː,TRV.TV,CCV.CV
Crucifigà,kɾusifigaː,TRV.SV.TV.TV,CCV.CV.CV.CV
Cruveldade,kɾuʋeldade,TRV.TVR.TV.TV,CCV.CVC.CV.CV
Cubicè,kubiseː,TV.TV.SV,CV.CV.CV
cubiço,kubiso,TV.TV.SV,CV.CV.CV
Kuda,kuda,TV.TV,CV.CV
Cuidade,kuidade,TV.V.TV.TV,CV.V.CV.CV
cuidação,kuidasaːo,TV.V.TV.SV.V,CV.V.CV.CV.V
cuidança,kuidansa,TV.V.TVR.SV,CV.V.CVC.CV
cuidancè,kuidanseː,TV.V.TVR.SV,CV.V.CVC.CV
Cuidadomente,kuidadomente,TV.V.TV.TV.RVR.TV,CV.V.CV.CV.CVC.CV
cuidademente,kuidademente,TV.V.TV.TV.RVR.TV,CV.V.CV.CV.CVC.CV
Cujéra,kud̠ʒeːɾa,TV.TV.RV,CV.CV.CV
Cale,kale,TV.RV,CV.CV
cúli,kuːli,TV.RV,CV.CV
Culpador,kulpadoɾ,TVR.TV.TVR,CVC.CV.CVC
Cum,kum,TVR,CVC
Cumaso,kumazo,TV.RV.TV,CV.CV.CV
Cum'sá,kuməsaː,TV.RV.SV,CV.CV.CV
Cupá,kupaː,TV.TV,CV.CV
Cupação,kupasaːo,TV.TV.SV.V,CV.CV.CV.V
Curá,kuɾaː,TV.RV,CV.CV
Cural,kuɾal,TV.RVR,CV.CVC
Curavè,kuɾaʋeː,TV.RV.TV,CV.CV.CV
Curtezia,kuɾtezia,TVR.TV.TV.V,CVC.CV.CV.V
Cusá,kuzaː,TV.TV,CV.CV
Cúsa,kuːza,TV.TV,CV.CV
Cúspi,kuːspi,TVS.TV,CVC.CV
cóspi,koːspi,TVS.TV,CVC.CV
Custúma,kustuːma,TVS.TV.RV,CVC.CV.CV
custumo,kustumo,TVS.TV.RV,CVC.CV.CV
Customà,kustomaː,TVS.TV.RV,CVC.CV.CV
Dace,dase,TV.SV,CV.CV
Dàlhi,daːʎi,TV.RV,CV.CV
dàlyi,daːlʲi,TV.RV,CV.CV
dàhi,daːi,TV.V,CV.V
dàji,daːd̠ʒi,TV.TV,CV.CV
Dádimo,daːdimo,TV.TV.RV,CV.CV.CV
Danà,danaː,TV.RV,CV.CV
Danação,danasaːo,TV.RV.SV.V,CV.CV.CV.V
Danaficà,danafikaː,TV.RV.TV.TV,CV.CV.CV.CV
Danaficação,danafikasaːo,TV.RV.TV.TV.SV.V,CV.CV.CV.CV.CV.V
Dandy,dandj,TVR.TR,CVC.CC
Darté,daɾteː,TVR.TV,CVC.CV
derté,deɾteː,TVR.TV,CVC.CV
Dar-tomars,daɾ tomaɾs,TVR TV.RVRS,CVC CV.CVCC
Decémber,deseːmbeɾ,TV.SVR.TVR,CV.CVC.CVC
De-ceos-visitador,de seos ʋizitadoɾ,TV SV.VS TV.TV.TV.TVR,CV CV.VC CV.CV.CV.CVC
Dè,deː,TV,CV
Dedia,dedia,TV.TV.V,CV.CV.V
Dek,dek,TV.T,CV.C
Declarão,deklaɾaːo,TV.TRV.RV.V,CV.CCV.CV.V
Deféncia,defeːnsia,TV.TVR.SV.V,CV.CVC.CV.V
defencè,defenseː,TV.TVR.SV,CV.CVC.CV
Deido,deido,TD.TV,CVV.CV
Deixa,deiʃa,TD.TV,CVV.CV
dessa,desa,TV.SV,CV.CV
Demóni,demoːni,TV.RVRV,CV.CVCV
Denheiro,deɲeiɾo,TV.RD.RV,CV.CVV.CV
Déntor,deːntoɾ,TVR.TVR,CVC.CVC
Dentro-voz,dentɾo ʋos,TVR.TRV TVS,CVC.CCV CVC
Deos-bénza,deos beːnza,TV.VS TVR.TV,CV.VC CVC.CV
Dér,deːɾ,TVR,CVC
Deremá,deɾemaː,TV.RVRV,CV.CVCV
Desasparà,dezaspaɾaː,TV.TVS.TV.RV,CV.CVC.CV.CV
Descargà,deskaɾgaː,TVS.TVR.TV,CVC.CVC.CV
Desci,desi,TV.SV,CV.CV
Desclorà,deskloɾaː,TVS.TRV.RV,CVC.CCV.CV
Descompetido,deskompetido,TVS.TVR.TV.TV.TV,CVC.CVC.CV.CV.CV
Descompetidomente,deskompetidomente,TVS.TVR.TV.TV.TV.RVR.TV,CVC.CVC.CV.CV.CV.CVC.CV
Descontentado,deskontentado,TVS.TVR.TVR.TV.TV,CVC.CVC.CVC.CV.CV
Descuidação,deskuidasaːo,TVS.TV.V.TV.SV.V,CVC.CV.V.CV.CV.V
descuidancè,deskuidanseː,TVS.TV.V.TVR.SV,CVC.CV.V.CVC.CV
Deseijo,dezeid̠ʒo,TV.TD.TV,CV.CVV.CV
deselho,dezeʎo,TV.TV.RV,CV.CV.CV
Deseijà,dezeid̠ʒaː,TV.TD.TV,CV.CVV.CV
Desembarçan,dezembaɾsan,TV.TVR.TVR.SVR,CV.CVC.CVC.CVC
Desempàr,dezempaːɾ,TV.TVR.TVR,CV.CVC.CVC
desemp'raçáo,dezempəɾasaːo,TV.TVR.TV.RV.SV.V,CV.CVC.CV.CV.CV.V
Desempará,dezempaɾaː,TV.TVR.TV.RV,CV.CVC.CV.CV
desemprà,dezempɾaː,TV.TVR.TRV,CV.CVC.CCV
Desfamá,desfamaː,TVS.TV.RV,CVC.CV.CV
Desfazedo,desfazedo,TVS.TV.TV.TV,CVC.CV.CV.CV
desfazido,desfazido,TVS.TV.TV.TV,CVC.CV.CV.CV
Desfruitoso,desfɾuitozo,TVS.TRV.V.TV.TV,CVC.CCV.V.CV.CV
Desgardecé,dezgaɾdeseː,TV.T.TVR.TV.SV,CV.C.CVC.CV.CV
Desgradecimento,dezgɾadesimento,TV.T.TRV.TV.SV.RVR.TV,CV.C.CCV.CV.CV.CVC.CV
Desgosto-vida,dezgosto ʋida,TV.T.TVS.TV TV.TV,CV.C.CVC.CV CV.CV
Deshonestade,deʃonestade,TV.TV.RVS.TV.TV,CV.CV.CVC.CV.CV
Desià,deziaː,TV.TV.V,CV.CV.V
disià,diziaː,TV.TV.V,CV.CV.V
diziá,diziaː,TV.TV.V,CV.CV.V
Desio,dezio,TV.TV.V,CV.CV.V
disio,dizio,TV.TV.V,CV.CV.V
Desimportá,dezimpoɾtaː,TV.TVR.TVR.TV,CV.CVC.CVC.CV
desemportá,dezempoɾtaː,TV.TVR.TVR.TV,CV.CVC.CVC.CV
Desemportado,dezempoɾtado,TV.TVR.TVR.TV.TV,CV.CVC.CVC.CV.CV
Desemportança,dezempoɾtansa,TV.TVR.TVR.TVR.SV,CV.CVC.CVC.CVC.CV
desemportação,dezempoɾtasaːo,TV.TVR.TVR.TV.SV.V,CV.CVC.CVC.CV.CV.V
Deslimpo,dezlimpo,TV.TRVR.TV,CV.CCVC.CV
Deslimpéza,dezlimpeːza,TV.TRVR.TV.TV,CV.CCVC.CV.CV
Deslimpá,dezlimpaː,TV.TRVR.TV,CV.CCVC.CV
Desmará,dezmaɾaː,TV.TRV.RV,CV.CCV.CV
Desmasiação,dezmaziasaːo,TV.TRV.TV.V.SV.V,CV.CCV.CV.V.CV.V
Desobedencia,dezobedensia,TV.TV.TV.TVR.SV.V,CV.CV.CV.CVC.CV.V
Despadaçá,despadasaː,TVS.TV.TV.SV,CVC.CV.CV.CV
Desparança,despaɾansa,TVS.TV.RVR.SV,CVC.CV.CVC.CV
Desparecê,despaɾeseː,TVS.TV.RV.SV,CVC.CV.CV.CV
desparcé,despaɾseː,TVS.TVR.SV,CVC.CVC.CV
Disparcido,dispaɾsido,TVS.TVR.SV.TV,CVC.CVC.CV.CV
Despôde,despoːde,TVS.TV.TV,CVC.CV.CV
Despois,despojs,TVS.TVRS,CVC.CVCC
Despossessá,desposesaː,TVS.TV.SVSV,CVC.CV.CVCV
Desprazá,despɾazaː,TVS.TRV.TV,CVC.CCV.CV
Desprendido,despɾendido,TVS.TRVR.TV.TV,CVC.CCVC.CV.CV
Desprovà,despɾoʋaː,TVS.TRV.TV,CVC.CCV.CV
Desproveitoso,despɾoʋeitozo,TVS.TRV.TD.TV.TV,CVC.CCV.CVV.CV.CV
Destribuá,destɾibuaː,TVS.TRV.TV.V,CVC.CCV.CV.V
Destribuação,destɾibuasaːo,TVS.TRV.TV.V.SV.V,CVC.CCV.CV.V.CV.V
destribução,destɾibusaːo,TVS.TRV.TV.SV.V,CVC.CCV.CV.CV.V
Destruvé,destɾuʋeː,TVS.TRV.TV,CVC.CCV.CV
destruivé,destɾuiʋeː,TVS.TRV.V.TV,CVC.CCV.V.CV
destruvà,destɾuʋaː,TVS.TRV.TV,CVC.CCV.CV
Destruiação,destɾuiasaːo,TVS.TRV.VV.SV.V,CVC.CCV.VV.CV.V
destruivição,destɾuiʋisaːo,TVS.TRV.V.TV.SV.V,CVC.CCV.V.CV.CV.V
destrucção,destɾuksaːo,TVS.TRV.T.SV.V,CVC.CCV.C.CV.V
Desvai,desʋai,TVS.TV.V,CVC.CV.V
Desvaloso,desʋalozo,TVS.TV.RV.TV,CVC.CV.CV.CV
Dettà,detːaː,TV.TV,CV.CV
Devida,deʋida,TV.TV.TV,CV.CV.CV
déuda,deːuda,TV.V.TV,CV.V.CV
dieudè,dieudeː,TV.D.TV,CV.VV.CV
Devidor,deʋidoɾ,TV.TV.TVR,CV.CV.CVC
dividor,diʋidoɾ,TV.TV.TVR,CV.CV.CVC
Devotado,deʋotado,TV.TV.TV.TV,CV.CV.CV.CV
Devotamos,deʋotamos,TV.TV.TV.RVS,CV.CV.CV.CVC
Dézimo,deːzimo,TV.TV.RV,CV.CV.CV
Dézimos,deːzimos,TV.TV.RVS,CV.CV.CVC
Dezimá,dezimaː,TV.TV.RV,CV.CV.CV
Dez-mil-mil,dez mil mil,TV.T RVR RVR,CV.C CVC CVC
Dezoitè,dezojteː,TV.TVR.TV,CV.CVC.CV
Dia,dia,TV.V,CV.V
Diabolei,diabolei,TV.V.TV.RD,CV.V.CV.CVV
Diamante-jubli,diamante d̠ʒubli,TV.V.RVR.TV TV.TRV,CV.V.CVC.CV CV.CCV
Diantá,diantaː,TV.VR.TV,CV.VC.CV
Diante-casa,diante kaza,TV.VR.TV TV.TV,CV.VC.CV CV.CV
Differéncia,difeɾeːnsia,TV.TV.RVR.SV.V,CV.CV.CVC.CV.V
Dinhéro,diɲeːɾo,TV.RVRV,CV.CVCV
Directà,diɾektaː,TV.RV.T.TV,CV.CV.C.CV
Disaccordancè,dizakoɾdanseː,TV.TV.TVR.TVR.SV,CV.CV.CVC.CVC.CV
Desapprovado,dezappɾoʋado,TV.TV.T.TRV.TV.TV,CV.CV.C.CCV.CV.CV
Discé,diseː,TV.SV,CV.CV
Discendé,disendeː,TV.SVR.TV,CV.CVC.CV
Discerto,diseɾto,TV.SVR.TV,CV.CVC.CV
Discete,disete,TV.SV.TV,CV.CV.CV
Disciplo,disiplo,TV.SV.TRV,CV.CV.CCV
Disconfiador,diskonfiadoɾ,TVS.TVR.TV.V.TVR,CVC.CVC.CV.V.CVC
Disconfiadeira,diskonfiadeiɾa,TVS.TVR.TV.V.TD.RV,CVC.CVC.CV.V.CVV.CV
Disconsalado,diskonsalado,TVS.TVR.SV.RV.TV,CVC.CVC.CV.CV.CV
Discontentomento,diskontentomento,TVS.TVR.TVR.TV.RVR.TV,CVC.CVC.CVC.CV.CVC.CV
Disconvertido,diskonʋeɾtido,TVS.TVR.TVR.TV.TV,CVC.CVC.CVC.CV.CV
Discourtezia,diskouɾtezia,TVS.TDR.TV.TV.V,CVC.CVVC.CV.CV.V
Disemperado,dizempeɾado,TV.TVR.TV.RV.TV,CV.CVC.CV.CV.CV
Disfayeção,disfajesaːo,TVS.TV.RV.SV.V,CVC.CV.CV.CV.V
Disfiel,disfiel,TVS.TV.VR,CVC.CV.VC
disfieldado,disfieldado,TVS.TV.VR.TV.TV,CVC.CV.VC.CV.CV
Disfielmente,disfielmente,TVS.TV.VR.RVR.TV,CVC.CV.VC.CVC.CV
Disfieldade,disfieldade,TVS.TV.VR.TV.TV,CVC.CV.VC.CV.CV
Disgerado,dizd̠ʒeɾado,TV.T.TV.RV.TV,CV.C.CV.CV.CV
Disgosto,dizgosto,TV.T.TVS.TV,CV.C.CVC.CV
Dish,diʃ,TV.T,CV.C
Dishonorá,diʃonoɾaː,TV.TV.RVRV,CV.CV.CVCV
Dishonrável,diʃonɾaːʋel,TV.TVR.RV.TVR,CV.CVC.CV.CVC
Dislevedado,dizleʋedado,TV.TRV.TV.TV.TV,CV.CCV.CV.CV.CV
Dismercé,dizmeɾseː,TV.TRVR.SV,CV.CCVC.CV
Dismercimento,dizmeɾsimento,TV.TRVR.SV.RVR.TV,CV.CCVC.CV.CVC.CV
Dismissão,dizmisaːo,TV.TRV.SV.V,CV.CCV.CV.V
Dismuê,dizmueː,TV.TRV.V,CV.CCV.V
Desobdecimento,dezobdesimento,TV.TV.T.TV.SV.RVR.TV,CV.CV.C.CV.CV.CVC.CV
Disobedecido,dizobedesido,TV.TV.TV.TV.SV.TV,CV.CV.CV.CV.CV.CV
Disperdiçà,dispeɾdisaː,TVS.TVR.TV.SV,CVC.CVC.CV.CV
Dispidê,dispideː,TVS.TV.TV,CVC.CV.CV
Dispôs,dispoːs,TVS.TVS,CVC.CVC
Disprazeiro,dispɾazeiɾo,TVS.TRV.TD.RV,CVC.CCV.CVV.CV
Disputação,disputasaːo,TVS.TV.TV.SV.V,CVC.CV.CV.CV.V
Disregulado,dizɾegulado,TV.TRV.TV.RV.TV,CV.CCV.CV.CV.CV
Disrepartido,dizɾepaɾtido,TV.TRV.TVR.TV.TV,CV.CCV.CVC.CV.CV
Disrezoado,dizɾezoado,TV.TRV.TV.V.TV,CV.CCV.CV.V.CV
Dissilim,disilim,TV.SV.RVR,CV.CV.CVC
Dissaude,disaude,TV.SD.TV,CV.CVV.CV
Distrançà,distɾansaː,TVS.TRVR.SV,CVC.CCVC.CV
Distrançador,distɾansadoɾ,TVS.TRVR.SV.TVR,CVC.CCVC.CV.CVC
Distranço,distɾanso,TVS.TRVR.SV,CVC.CCVC.CV
Distresso,distɾeso,TVS.TRV.SV,CVC.CCV.CV
Disvalia,disʋalia,TVS.TV.RV.V,CVC.CV.CV.V
Disvalià,disʋaliaː,TVS.TV.RV.V,CVC.CV.CV.V
Disvalioso,disʋaliozo,TVS.TV.RV.V.TV,CVC.CV.CV.V.CV
Dito,dito,TV.TV,CV.CV
Divinidade,diʋinidade,TV.TV.RV.TV.TV,CV.CV.CV.CV.CV
Divudo,diʋudo,TV.TV.TV,CV.CV.CV
Dizido,dizido,TV.TV.TV,CV.CV.CV
Docéro,doseːɾo,TV.SV.RV,CV.CV.CV
Dóctor,doːktoɾ,TV.T.TVR,CV.C.CVC
Dódo,doːdo,TV.TV,CV.CV
Dodice,dodise,TV.TV.SV,CV.CV.CV
doudiça,doudisa,TD.TV.SV,CVV.CV.CV
dodiço,dodiso,TV.TV.SV,CV.CV.CV
Dodado,dodado,TV.TV.TV,CV.CV.CV
Doençá,doensaː,TV.VR.SV,CV.VC.CV
Dolôr,doloːɾ,TV.RVR,CV.CVC
Dominião,dominiaːo,TV.RVRV.VV,CV.CVCV.VV
Dor-quebrado,doɾ kebɾado,TVR TV.TRV.TV,CVC CV.CCV.CV
Dós,doːs,TVS,CVC
dous,dous,TDS,CVVC
Dous-dobrado,dous dobɾado,TDS TV.TRV.TV,CVVC CV.CCV.CV
Doutrino,doutɾino,TD.TRV.RV,CVV.CCV.CV
Doutro,doutɾo,TD.TRV,CVV.CCV
Dovencè,doʋenseː,TV.TVR.SV,CV.CVC.CV
Dó-vestido,doː ʋestido,TV TVS.TV.TV,CV CVC.CV.CV
Dozeiro,dozeiɾo,TV.TD.RV,CV.CVV.CV
douzeiro,douzeiɾo,TD.TD.RV,CVV.CVV.CV
Dózimo,doːzimo,TV.TV.RV,CV.CV.CV
Drek,dɾek,TRV.T,CCV.C
Dréker,dɾeːkeɾ,TRV.TVR,CCV.CVC
Dreito,dɾeito,TRD.TV,CCVV.CV
dreto,dɾeto,TRV.TV,CCV.CV
Dromi,dɾomi,TRV.RV,CCV.CV
dromé,dɾomeː,TRV.RV,CCV.CV
drumé,dɾumeː,TRV.RV,CCV.CV
Dromiçá,dɾomisaː,TRV.RV.SV,CCV.CV.CV
Dromiçá,dɾomisaː,TRV.RV.SV,CCV.CV.CV
Drop,dɾop,TRV.T,CCV.C
Dúcats,duːkats,TV.TV.TS,CV.CV.CC
Dúki,duːki,TV.TV,CV.CV
Dukesè,dukezeː,TV.TV.TV,CV.CV.CV
Durança,duɾansa,TV.RVR.SV,CV.CVC.CV
Duvidade,duʋidade,TV.TV.TV.TV,CV.CV.CV.CV
